"tip_label","kingdom","phylum","class","order","family","genus","species","order2","alpha","family2","hab1","hab2","habitat_preference","num_present","family_common"
"otu_6099","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","terrestrial","terrestrial","terrestrial",4,"SG8-38"
"otu_3889","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","terrestrial","terrestrial","terrestrial",5,"SG8-38"
"otu_3191","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","freshwater","freshwater",5,"SG8-38"
"otu_2892","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","freshwater","freshwater",8,"SG8-38"
"otu_11385","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","freshwater","freshwater",4,"SG8-38"
"otu_6152","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",5,"SG8-38"
"otu_980","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",7,"SG8-38"
"otu_858","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","freshwater","freshwater",10,"SG8-38"
"otu_2097","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",5,"SG8-38"
"otu_855","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",16,"SG8-38"
"otu_717","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",19,"SG8-38"
"otu_10567","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","freshwater","freshwater",5,"SG8-38"
"otu_4978","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","freshwater","freshwater",4,"SG8-38"
"otu_15151","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","mud_and_shore","mud_and_shore","mud_and_shore",4,"SG8-38"
"otu_1794","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",5,"SG8-38"
"otu_3692","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",7,"SG8-38"
"otu_5020","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","freshwater","freshwater",6,"SG8-38"
"otu_5619","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",8,"SG8-38"
"otu_7324","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",4,"SG8-38"
"otu_16581","Bacteria","Myxococcota","Polyangia","Polyangiales",NA,NA,NA,"Polyangiales",1,"uncertain","mud_and_shore","mud_and_shore","mud_and_shore",5,"uncertain"
"otu_8276","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","freshwater","freshwater",4,"SG8-38"
"otu_10314","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","terrestrial","terrestrial","terrestrial",4,"SG8-38"
"otu_8962","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","mud_and_shore","mud_and_shore","mud_and_shore",4,"SG8-38"
"otu_87","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","mud_and_shore","freshwater:mud_and_shore",13,"SG8-38"
"otu_14895","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","freshwater","freshwater",4,"SG8-38"
"otu_2423","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",7,"SG8-38"
"otu_1629","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",11,"SG8-38"
"otu_820","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","JAADHO01","JAADHO01 sp009992505","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",14,"SG8-38"
"otu_1606","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","JAADHO01","JAADHO01 sp009992505","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",15,"SG8-38"
"otu_1509","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","freshwater","freshwater",15,"SG8-38"
"otu_72","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","JAADHO01","JAADHO01 sp009992505","Polyangiales",1,"SG8-38","terrestrial","terrestrial","terrestrial",9,"SG8-38"
"otu_4034","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","JAADHO01","JAADHO01 sp009992505","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",16,"SG8-38"
"otu_4069","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",5,"SG8-38"
"otu_6471","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",7,"SG8-38"
"otu_968","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",4,"SG8-38"
"otu_3176","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","terrestrial","terrestrial","terrestrial",5,"SG8-38"
"otu_7178","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",6,"SG8-38"
"otu_1505","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","terrestrial","terrestrial","terrestrial",5,"SG8-38"
"otu_9112","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",5,"SG8-38"
"otu_908","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","JAADHO01","JAADHO01 sp009992505","Polyangiales",1,"SG8-38","mud_and_shore","mud_and_shore","mud_and_shore",6,"SG8-38"
"otu_6729","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","JAADHO01","JAADHO01 sp009992505","Polyangiales",1,"SG8-38","mud_and_shore","mud_and_shore","mud_and_shore",4,"SG8-38"
"otu_4103","Bacteria","Myxococcota","Polyangia",NA,NA,NA,NA,"uncertain",0,"uncertain","mud_and_shore","mud_and_shore","mud_and_shore",5,"uncertain"
