"","boot_num","habitat_preference","model","similarity","estimated_lambda"
"368",46,"terrestrial","er",97.7,0.866925588732025
"369",47,"all","ard",97.7,0.882396733074737
"370",47,"all","er",97.7,0.802504037642777
"371",47,"freshwater","ard",97.7,0.818404198237167
"372",47,"freshwater","er",97.7,0.83513437454354
"373",47,"marine_mud","ard",97.7,0.882396733074737
"374",47,"marine_mud","er",97.7,0.802504037642777
"375",47,"terrestrial","ard",97.7,0.818404198237167
"376",47,"terrestrial","er",97.7,0.83513437454354
"377",48,"all","ard",97.7,0.867836192574662
"378",48,"all","er",97.7,0.652961010464262
"379",48,"freshwater","ard",97.7,0.864387489009921
"380",48,"freshwater","er",97.7,0.697097455077751
"381",48,"marine_mud","ard",97.7,0.867836192574662
"382",48,"marine_mud","er",97.7,0.652961010464262
"383",48,"terrestrial","ard",97.7,0.864387489009921
"384",48,"terrestrial","er",97.7,0.697097455077751
"385",49,"all","ard",97.7,0.890622334519679
"386",49,"all","er",97.7,0.910544360130212
"387",49,"freshwater","ard",97.7,0.930530950985434
"388",49,"freshwater","er",97.7,0.893411011993273
"389",49,"marine_mud","ard",97.7,0.890622334519679
"390",49,"marine_mud","er",97.7,0.910544360130212
"391",49,"terrestrial","ard",97.7,0.930530950985434
"392",49,"terrestrial","er",97.7,0.893411011993273
"393",50,"all","ard",97.7,0.901723816253211
"394",50,"all","er",97.7,0.739791293338462
"395",50,"freshwater","ard",97.7,0.767713821279843
"396",50,"freshwater","er",97.7,0.85602412701049
"397",50,"marine_mud","ard",97.7,0.901723816253211
"398",50,"marine_mud","er",97.7,0.739791293338462
"399",50,"terrestrial","ard",97.7,0.767713821279843
"400",50,"terrestrial","er",97.7,0.85602412701049
"401",51,"all","ard",97.7,9.11938181709393e-51
"402",51,"all","er",97.7,0.407503611132777
"403",51,"freshwater","ard",97.7,0.853449337538946
"404",51,"freshwater","er",97.7,0.922458251658511
"405",51,"marine_mud","ard",97.7,9.11938181709393e-51
"406",51,"marine_mud","er",97.7,0.407503611132777
"407",51,"terrestrial","ard",97.7,0.853449337538946
"408",51,"terrestrial","er",97.7,0.922458251658511
"409",52,"all","ard",97.7,0.805847557369613
"410",52,"all","er",97.7,0.616891198085842
"411",52,"freshwater","ard",97.7,0.816665488063163
"412",52,"freshwater","er",97.7,0.74252218686936
"413",52,"marine_mud","ard",97.7,0.805847557369613
"414",52,"marine_mud","er",97.7,0.616891198085842
"415",52,"terrestrial","ard",97.7,0.816665488063163
"416",52,"terrestrial","er",97.7,0.74252218686936
"417",53,"all","ard",97.7,0.864839437625282
"418",53,"all","er",97.7,0.318058373947656
"419",53,"freshwater","ard",97.7,0.962682261852492
"420",53,"freshwater","er",97.7,0.837060778745041
"421",53,"marine_mud","ard",97.7,0.864839437625282
"422",53,"marine_mud","er",97.7,0.318058373947656
"423",53,"terrestrial","ard",97.7,0.962682261852492
"424",53,"terrestrial","er",97.7,0.837060778745041
"425",54,"all","ard",97.7,0.865642563965777
"426",54,"all","er",97.7,0.78583220959445
"427",54,"freshwater","ard",97.7,0.904637413483081
"428",54,"freshwater","er",97.7,0.684313014345687
"429",54,"marine_mud","ard",97.7,0.865642563965777
"430",54,"marine_mud","er",97.7,0.78583220959445
"431",54,"terrestrial","ard",97.7,0.904637413483081
"432",54,"terrestrial","er",97.7,0.684313014345687
"433",55,"all","ard",97.7,0.891376378844487
"434",55,"all","er",97.7,0.675010559167562
"435",55,"freshwater","ard",97.7,0.918317793349862
"436",55,"freshwater","er",97.7,1
"437",55,"marine_mud","ard",97.7,0.891376378844487
"438",55,"marine_mud","er",97.7,0.675010559167562
"439",55,"terrestrial","ard",97.7,0.918317793349862
"440",55,"terrestrial","er",97.7,1
"441",56,"all","ard",97.7,0.920311815739572
"442",56,"all","er",97.7,0.684035185132596
"443",56,"freshwater","ard",97.7,0.88824325096082
"444",56,"freshwater","er",97.7,0.889394631194981
"445",56,"marine_mud","ard",97.7,0.920311815739572
"446",56,"marine_mud","er",97.7,0.684035185132596
"447",56,"terrestrial","ard",97.7,0.88824325096082
"448",56,"terrestrial","er",97.7,0.889394631194981
"449",57,"all","ard",97.7,0.897107792483529
"450",57,"all","er",97.7,0.837907503933166
"451",57,"freshwater","ard",97.7,0.928597130103519
"452",57,"freshwater","er",97.7,0.843467373919637
"453",57,"marine_mud","ard",97.7,0.897107792483529
"454",57,"marine_mud","er",97.7,0.837907503933166
"455",57,"terrestrial","ard",97.7,0.928597130103519
"456",57,"terrestrial","er",97.7,0.843467373919637
"457",58,"all","ard",97.7,0.85215349902353
"458",58,"all","er",97.7,0.647804150335454
"459",58,"freshwater","ard",97.7,0.836720072152614
"460",58,"freshwater","er",97.7,0.837787177703352
"461",58,"marine_mud","ard",97.7,0.85215349902353
"462",58,"marine_mud","er",97.7,0.647804150335454
"463",58,"terrestrial","ard",97.7,0.836720072152614
"464",58,"terrestrial","er",97.7,0.837787177703352
"465",59,"all","ard",97.7,2.45344390270101e-105
"466",59,"all","er",97.7,0.568538600685258
"467",59,"freshwater","ard",97.7,0.872895881614696
"468",59,"freshwater","er",97.7,0.772241766101341
"469",59,"marine_mud","ard",97.7,2.45344390270101e-105
"470",59,"marine_mud","er",97.7,0.568538600685258
"471",59,"terrestrial","ard",97.7,0.872895881614696
"472",59,"terrestrial","er",97.7,0.772241766101341
"473",60,"all","ard",97.7,9.82972925664153e-21
"474",60,"all","er",97.7,0.575602689726954
"475",60,"freshwater","ard",97.7,0.751439967434839
"476",60,"freshwater","er",97.7,0.853106241130739
"477",60,"marine_mud","ard",97.7,9.82972925664153e-21
"478",60,"marine_mud","er",97.7,0.575602689726954
"479",60,"terrestrial","ard",97.7,0.751439967434839
"480",60,"terrestrial","er",97.7,0.853106241130739
"481",61,"all","ard",97.7,0.879881811974944
"482",61,"all","er",97.7,0.69399766992349
"483",61,"freshwater","ard",97.7,0.961417592839707
"484",61,"freshwater","er",97.7,0.876927279282419
"485",61,"marine_mud","ard",97.7,0.879881811974944
"486",61,"marine_mud","er",97.7,0.69399766992349
"487",61,"terrestrial","ard",97.7,0.961417592839707
"488",61,"terrestrial","er",97.7,0.876927279282419
"489",62,"all","ard",97.7,0.845224386280057
