"tip_label","kingdom","phylum","class","family","genus","species","habitat_preference","num_present"
"otu_10273","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Byssovorax","Byssovorax cruenta","freshwater:terrestrial",8
"otu_3119","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Byssovorax","Byssovorax cruenta","freshwater:terrestrial",8
"otu_11392","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Sorangium","Sorangium cellulosum","freshwater:terrestrial",15
"otu_11771","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","terrestrial",6
"otu_3114","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","freshwater",4
"otu_21959","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Byssovorax","Byssovorax cruenta","terrestrial",6
"otu_12931","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Byssovorax","Byssovorax cruenta","freshwater:terrestrial",6
"otu_2288","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Labilithrix","Labilithrix sp001899635","freshwater:terrestrial",16
"otu_10739","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Palsa-1150","Palsa-1150 sp003139415","terrestrial",4
"otu_5340","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","freshwater",4
"otu_8748","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"freshwater:terrestrial",12
"otu_14070","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","MED-G138","MED-G138 sp004213565","freshwater:terrestrial",4
"otu_1551","Bacteria","Myxococcota","Polyangia","Ga0077539","SCUS01","SCUS01 sp004297725","terrestrial",12
"otu_5319","Bacteria","Myxococcota","Polyangia","Ga0077539","SCUS01","SCUS01 sp004297725","freshwater:terrestrial",7
"otu_2246","Bacteria","Myxococcota","Polyangia","Ga0077539","SCUS01","SCUS01 sp004297725","freshwater:terrestrial",11
"otu_11953","Bacteria","Myxococcota","Polyangia","Ga0077539","SCUS01","SCUS01 sp004297725","terrestrial",5
"otu_9889","Bacteria","Myxococcota","Polyangia","Ga0077539","SCUS01","SCUS01 sp004297725","terrestrial",10
"otu_13563","Bacteria","Myxococcota","Polyangia","Ga0077539","SCUS01","SCUS01 sp004297725","freshwater:terrestrial",8
"otu_4893","Bacteria","Myxococcota","Polyangia","Ga0077539","SCUS01","SCUS01 sp004297725","freshwater:terrestrial",6
"otu_3220","Bacteria","Myxococcota","Polyangia","Ga0077539","SCUS01","SCUS01 sp004297725","terrestrial",6
"otu_16569","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Labilithrix","Labilithrix sp001899635","freshwater:terrestrial",10
"otu_5031","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","Sandaracinus","Sandaracinus amylolyticus","freshwater:terrestrial",19
"otu_20782","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Labilithrix","Labilithrix sp001899635","freshwater:terrestrial",6
"otu_9384","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Byssovorax","Byssovorax cruenta","terrestrial",8
"otu_9464","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Labilithrix","Labilithrix sp001899635","terrestrial",11
"otu_9521","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Labilithrix","Labilithrix luteola","mud_and_shore",4
"otu_4917","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Labilithrix","Labilithrix luteola","freshwater:terrestrial",10
"otu_10337","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","Sandaracinus","Sandaracinus amylolyticus","freshwater",7
"otu_1484","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","Sandaracinus","Sandaracinus amylolyticus","terrestrial",11
"otu_3779","Bacteria","Myxococcota","Polyangia","Ga0077539","SCUS01","SCUS01 sp004297725","terrestrial",9
"otu_12523","Bacteria","Myxococcota","Polyangia","Polyangiaceae",NA,NA,"freshwater",5
"otu_4731","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Labilithrix","Labilithrix sp001899635","freshwater",12
"otu_16973","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","Sandaracinus","Sandaracinus amylolyticus","generalist",5
"otu_9711","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","Sandaracinus","Sandaracinus amylolyticus","freshwater:terrestrial",7
"otu_6547","Bacteria","Myxococcota","Polyangia","Ga0077539","SCUS01","SCUS01 sp004297725","freshwater",5
"otu_9317","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Polyangium","Polyangium sp005144635","terrestrial",4
"otu_905","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","freshwater",4
