generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
880000,otu_293_SG8-38,otu_11931_UBA4427,0,121.207,-4.348,0.0338227,0
900000,otu_293_SG8-38,otu_11931_UBA4427,0,108.121,-4.17546,0.0508927,0
900000,otu_3314_Myxococcaceae,NA,0.883356,4.34217,-0.0762749,9.29601,0
920000,otu_293_SG8-38,otu_11931_UBA4427,0,122.138,-4.34531,0.00162358,0
920000,otu_9040,NA,0.977249,1.7558,-3.85129,28.3492,0
920000,otu_8001_Polyangiaceae,NA,0.987357,8.17522,-1.00989,78.9714,0
920000,otu_1428_Sandaracinaceae,NA,0.998457,9.76199,0.213336,42.8202,0
920000,otu_1101_Myxococcaceae,NA,0.993939,11.8255,-0.672385,5.82926,0
940000,otu_293_SG8-38,otu_11931_UBA4427,0,101.902,-4.19302,0.0138415,0
960000,otu_293_SG8-38,otu_11931_UBA4427,0,103.688,-4.23434,0.0674913,0
980000,otu_293_SG8-38,otu_11931_UBA4427,0,136.162,-4.51917,0.0127011,0
980000,otu_2593_Polyangiaceae,NA,0.584895,67.1022,-2.69758,51.3221,0
980000,otu_111,NA,0.921265,23.5902,-2.24197,3.19797,0
1000000,otu_293_SG8-38,otu_11931_UBA4427,0,102.29,-4.08555,0.0956022,0
1000000,otu_1083_Polyangiaceae,NA,0.779153,6.79886,-0.91094,24.6717,0
1020000,otu_293_SG8-38,otu_11931_UBA4427,0,99.3107,-4.06809,0.0185034,0
1040000,otu_293_SG8-38,otu_11931_UBA4427,0,97.0785,-4.0019,0.0954075,0
1060000,otu_293_SG8-38,otu_11931_UBA4427,0,106.679,-4.21293,0.0401654,0
1080000,otu_293_SG8-38,otu_11931_UBA4427,0,97.3175,-3.99949,0.0299052,0
1100000,otu_293_SG8-38,otu_11931_UBA4427,0,108.811,-4.28334,0.00409831,0
1120000,otu_293_SG8-38,otu_11931_UBA4427,0,107.973,-4.25271,0.00471281,0
1140000,otu_293_SG8-38,otu_11931_UBA4427,0,100.789,-4.10201,0.00371401,0
1160000,otu_293_SG8-38,otu_11931_UBA4427,0,103.226,-4.13869,0.11351,0
1180000,otu_293_SG8-38,otu_11931_UBA4427,0,101.037,-4.13447,0.0508265,0
1200000,otu_293_SG8-38,otu_11931_UBA4427,0,110.589,-4.24358,0.25685,0
1220000,otu_293_SG8-38,otu_11931_UBA4427,0,119.443,-4.31,0.0194748,0
